 name , ra , dec , distance_Mpc
 ESO154-023 ,44.21,-54.5731,5.55
 BTS76 ,179.6838,27.585,5.57
 KKH46 ,137.1525,5.2922,5.6
 UGC05456 ,151.8321,10.3622,5.6
 HIPASS J1526-51 ,231.5954,-51.1753,5.68
 UGCA281 ,186.5667,48.4919,5.68
 NGC5585 ,214.9512,56.7303,5.7
 HIPASS J1351-47 ,207.8417,-47,5.73
 DDO043 ,112.0717,40.7703,5.73
 HIPASS J1348-37 ,207.1413,-37.9675,5.75
 KK182 ,196.2621,-40.0828,5.78
 ESO443-009 ,193.7233,-28.3408,5.78
 ESO222-010 ,218.7625,-49.4217,5.8
 NGC4490 ,187.6517,41.6436,5.8
 NGC4485 ,187.63,41.7,5.8
 MAPS1231+42 ,187.7875,42.0942,5.8
 NGC4707 ,192.0954,51.1647,5.8
 UGC02905 ,59.2525,16.5244,5.83
 ESO272-025 ,220.8562,-44.7053,5.88
 KKR59 ,315.8508,57.2872,5.89
 KKR56 ,312.1004,58.6183,5.89
 NGC6946 ,308.7129,60.1542,5.89
 KK251 ,307.6333,60.3536,5.89
 KKR55 ,311.3367,60.4111,5.89
 UGC11583 ,307.5638,60.4403,5.89
 KK252 ,307.8858,60.8133,5.89
 ESO149-003 ,358.0117,-52.5775,5.9
 KKR60 ,316.4708,57.2053,5.9
 LV J1217+3231 ,184.3833,32.5325,5.93
 LV J0616-5745 ,94.0383,-57.7653,6
 AGC174605 ,117.5904,7.7944,6
 KDG216 ,194.1042,15.0858,6
 KK191 ,198.4154,42.0442,6
 Cepheus1 ,312.7904,56.89,6
 HIPASS J1441-62 ,220.4279,-62.7672,6.02
 IC5052 ,313.0258,-69.2039,6.03
 ESO121-020 ,93.9771,-57.7264,6.05
 IC1959 ,53.2992,-50.4106,6.05
 LV J0944-2254 ,146.0838,-22.9161,6.05
 ESO320-014 ,174.4725,-39.2206,6.08
 LV J1243+4127 ,190.9821,41.4569,6.09
 AGC174585 ,114.0429,9.9864,6.1
 AGC182595 ,132.8004,27.88,6.1
 LV J0939-2507 ,144.8958,-25.1264,6.15
 KK144 ,186.3663,28.4825,6.15
 LV J1158+1535 ,179.6683,15.5928,6.27
 KK138 ,185.4933,28.2428,6.3
 And IV ,10.6254,40.5758,6.31
 HIPASS J0801-21 ,120.3558,-21.9975,6.34
 ESO137-018 ,245.2471,-60.4875,6.4
 UGC02716 ,51.03,17.7542,6.4
 Orion ,86.2583,5.0683,6.46
 ESO223-009 ,225.2854,-48.2925,6.49
 UGC08061 ,194.1808,11.9311,6.49
 UGC02684 ,50.0988,17.295,6.49
 ESO318-013 ,161.9246,-38.8542,6.5
 PGC170257 ,202.3375,-21.1792,6.5
 HIPASS J1258-04 ,194.7067,-4.8886,6.5
 CVnHI ,185.1808,46.2092,6.5
 AGC112521 ,25.2829,27.3239,6.52
 LV J1218+4655 ,184.5462,46.9169,6.54
 ESO199-007 ,44.5171,-49.3825,6.56
 UGC05209 ,146.2675,32.2383,6.56
 KK151 ,187.5992,42.9014,6.56
 Arp211 ,189.3388,38.7453,6.61
 NGC5023 ,198.0496,44.0386,6.61
 KUG 1202+286 ,181.3471,28.3656,6.69
 ESO006-001 ,124.8471,-85.1456,6.7
 ESO104-022 ,283.9217,-64.8108,6.7
 NGC7090 ,324.1192,-54.5572,6.7
 HIPASS J1133-32 ,173.2958,-32.9619,6.7
 NGC3621 ,169.5671,-32.8117,6.7
 HIPASS J1131-31 ,172.8967,-31.6722,6.7
 UGC00288 ,7.2667,43.4317,6.73
 LV J1205+2813 ,181.3925,28.2322,6.74
 LV J1021+0054 ,155.4121,0.9,6.78
 IC3718 ,191.1917,12.3514,6.8
 AGC238890 ,203.1262,25.1236,6.8
 UGC05288 ,147.8217,7.8272,6.85
 NGC3344 ,160.8758,24.9236,6.85
 DDO046 ,115.3575,40.1125,6.85
 DDO127 ,187.1188,37.2333,6.89
 KK176 ,194.9846,-19.4131,6.9
 KK152 ,188.3537,33.3514,6.9
 UGC7678 ,188.0017,39.8319,6.9
 KKH40 ,116.735,51.2961,6.98
 ESO501-023 ,158.8467,-24.7542,7
 UGC05797 ,159.855,1.7186,7
 UGC03476 ,97.6217,33.3019,7.01
 LV J1157+5638 ,179.4758,56.6381,7.03
 DDO120 ,185.3125,45.8114,7.06
 ESO376-016 ,160.8629,-37.0425,7.1
 LV J1000+3032 ,150.1521,30.5361,7.1
 KK78 ,147.5817,31.4567,7.1
 CGCG 262-028 ,116.8838,51.1914,7.1
 UGC05427 ,151.1708,29.3664,7.11
 DDO064 ,147.5933,31.4875,7.11
 LV J1952+1428 ,298.0492,14.4733,7.13
 UGC03303 ,81.2479,4.505,7.14
 UGC07639 ,187.4708,47.53,7.14
 HIPASS J0457-42 ,74.2446,-42.8039,7.2
 HIZSS012 ,112.5346,-22.0169,7.2
 VCC1713 ,189.3713,4.7514,7.2
 AGC732602 ,200.27,24.1433,7.2
 UGC1561 ,31.0208,24.2078,7.2
 KK13 ,25.57,26.3678,7.2
 KK15 ,26.6733,26.8014,7.2
 KK14 ,26.1779,27.2878,7.2
 IC1727 ,26.8754,27.3311,7.2
 NGC0672 ,26.9717,27.4336,7.2
 NGC5474 ,211.2587,53.6631,7.2
 KKH87 ,213.7892,57.0875,7.2
 HolmIV ,208.6879,53.9047,7.21
 HIPASS J0705-20 ,106.4375,-20.9917,7.23
 UGC03600 ,103.9167,39.095,7.24
 UGC03698 ,107.3283,44.38,7.24
 NGC4144 ,182.4971,46.4572,7.24
 KDG101 ,184.7879,47.0897,7.24
 IC4870 ,294.4067,-65.8119,7.3
 DDO161 ,195.82,-17.4231,7.3
 UGCA319 ,195.56,-17.2375,7.3
 LV J0935-1348 ,143.84,-13.8144,7.3
 NGC4700 ,192.2817,-11.4114,7.3
 UGC01056 ,22.1967,16.6881,7.3
 BTS151 ,190.8525,32.4822,7.3
 LV J1243+3232 ,190.9358,32.5344,7.3
 NGC4627 ,190.4988,32.5736,7.3
 LV J1241+3251 ,190.4471,32.8578,7.3
 NGC4861 ,194.7583,34.8603,7.3
 UGC09992 ,235.4492,67.2542,7.3
 NGC0628 ,24.1721,15.7867,7.31
 HIZSS014 ,114.0942,-19.4944,7.35
 NGC4600 ,190.0958,3.1178,7.35
 MCG +09-16-010 ,140.8208,51.9731,7.35
